protocol,chain,date,tvl_usd
aave,__all__,2024-01-01,6628392894
aave,__all__,2024-01-02,6849093339
aave,__all__,2024-01-03,6853216354
aave,__all__,2024-01-04,6444211054
aave,__all__,2024-01-05,6646272999
aave,__all__,2024-01-06,6795855754
aave,__all__,2024-01-07,6745052096
aave,__all__,2024-01-08,6648641405
aave,__all__,2024-01-09,6960442334
aave,__all__,2024-01-10,7000972250
aave,__all__,2024-01-11,7625851529
aave,__all__,2024-01-12,7735464900
aave,__all__,2024-01-13,7400179017
aave,__all__,2024-01-14,7527115208
aave,__all__,2024-01-15,7348678383
aave,__all__,2024-01-16,7438792937
aave,__all__,2024-01-17,7537526422
aave,__all__,2024-01-18,7370181187
aave,__all__,2024-01-19,7229174387
aave,__all__,2024-01-20,7225072957
aave,__all__,2024-01-21,7258826806
aave,__all__,2024-01-22,7191881115
aave,__all__,2024-01-23,6763908456
aave,__all__,2024-01-24,6674985460
aave,__all__,2024-01-25,6690268059
aave,__all__,2024-01-26,6688875413
aave,__all__,2024-01-27,6896436107
aave,__all__,2024-01-28,6902065806
aave,__all__,2024-01-29,6871555659
aave,__all__,2024-01-30,6947968839
aave,__all__,2024-01-31,6938434812
aave,__all__,2024-02-01,6811813368
aave,__all__,2024-02-02,6920362657
aave,__all__,2024-02-03,6968147015
aave,__all__,2024-02-04,6914746010
aave,__all__,2024-02-05,6936586370
aave,__all__,2024-02-06,6967544716
aave,__all__,2024-02-07,7073906650
aave,__all__,2024-02-08,7190716756
aave,__all__,2024-02-09,7176283658
aave,__all__,2024-02-10,7415208726
aave,__all__,2024-02-11,7477947893
aave,__all__,2024-02-12,7513041002
aave,__all__,2024-02-13,7874473464
aave,__all__,2024-02-14,7810503159
aave,__all__,2024-02-15,8190341155
aave,__all__,2024-02-16,8332364047
aave,__all__,2024-02-17,8281891582
aave,__all__,2024-02-18,8232254605
aave,__all__,2024-02-19,8418385888
aave,__all__,2024-02-20,8556470271
aave,__all__,2024-02-21,8639437048
aave,__all__,2024-02-22,8525112833
aave,__all__,2024-02-23,8506381001
aave,__all__,2024-02-24,8374787710
aave,__all__,2024-02-25,8559096615
aave,__all__,2024-02-26,8805585946
aave,__all__,2024-02-27,9093517769
aave,__all__,2024-02-28,9299228933
aave,__all__,2024-02-29,9755087873
aave,__all__,2024-03-01,9848975155
aave,__all__,2024-03-02,10097043925
